UDP Human Server Side Started ......
RECRV,CARV,120,1550718812.572
RECRV,CARV,101256,1550718818.743
RECRV,CARV,101616,1550718820.004
RECRV,CARV,194416,1550718822.523
RECRV,CARV,1832,1550718822.742
RECRV,CARV,197848,1550718825.404
RECRV,CARV,243112,1550718829.073
RECRV,CARV,346376,1550718833.145
RECRV,CARV,358960,1550718837.285
RECRV,CARV,308208,1550718841.384
RECRV,CARV,5456,1550718841.422
RECRV,CARV,357600,1550718845.785
RECRV,CARV,3656,1550718845.942
RECRV,CARV,412712,1550718851.155
RECRV,CARV,513456,1550718857.715
RECRV,CARV,442456,1550718863.514
RECRV,CARV,520536,1550718870.084
RECRV,CARV,4688,1550718870.303
RECRV,CARV,720,1550718870.321
RECRV,CARV,613288,1550718878.104
RECRV,CARV,387648,1550718883.156
RECRV,CARV,397832,1550718888.155
RECRV,CARV,6224,1550718888.322
RECRV,CARV,370800,1550718893.454
RECRV,CARV,371288,1550718897.764
RECRV,CARV,136160,1550718899.622
RECRV,CARV,350568,1550718904.044
RECRV,CARV,337176,1550718908.374
RECRV,CARV,6480,1550718908.582
RECRV,CARV,1192,1550718908.582
RECRV,CARV,476576,1550718914.754
RECRV,CARV,11216,1550718914.912
RECRV,CARV,1104,1550718915.021
RECRV,CARV,635232,1550718922.975
RECRV,CARV,265608,1550718926.893
RECRV,CARV,10552,1550718927.002
RECRV,CARV,216,1550718927.032
RECRV,CARV,596776,1550718934.305
RECRV,CARV,706152,1550718943.318
RECRV,CARV,4568,1550718943.592
RECRV,CARV,736,1550718943.612
RECRV,CARV,5600,1550718943.782
RECRV,CARV,686280,1550718952.466
RECRV,CARV,350496,1550718957.393
RECRV,CARV,11592,1550718961.062
RECRV,CARV,1360,1550718961.171
RECRV,CARV,551264,1550718968.125
RECRV,CARV,1424,1550718968.312
RECRV,CARV,853296,1550718979.098
RECRV,CARV,5128,1550718979.372
RECRV,CARV,664464,1550718987.797
RECRV,CARV,1688,1550718988.072
RECRV,CARV,447960,1550718993.915
RECRV,CARV,106672,1550718995.252
RECRV,CARV,316952,1550718999.393
RECRV,CARV,398016,1550719004.384
RECRV,CARV,75368,1550719005.363
RECRV,CARV,5792,1550719005.563
RECRV,CARV,330952,1550719009.583
RECRV,CARV,559384,1550719016.645
RECRV,CARV,42128,1550719017.341
RECRV,CARV,3856,1550719025.512
RECRV,CARV,600,1550719025.782
RECRV,CARV,1160,1550719025.871
RECRV,CARV,661696,1550719034.265
RECRV,CARV,1576,1550719034.542
RECRV,CARV,908456,1550719045.947
RECRV,CARV,1288,1550719046.222
RECRV,CARV,243656,1550719049.264
RECRV,CARV,13824,1550719049.492
RECRV,CARV,1097648,1550719063.339
RECRV,CARV,1944,1550719063.642
RECRV,CARV,862912,1550719074.446
RECRV,CARV,1011232,1550719087.727
RECRV,CARV,7080,1550719087.771
RECRV,CARV,996600,1550719100.118
RECRV,CARV,773576,1550719110.127
RECRV,CARV,665648,1550719119.245
RECRV,CARV,888,1550719119.251
RECRV,CARV,682240,1550719127.775
RECRV,CARV,615032,1550719135.627
RECRV,CARV,390920,1550719140.634
RECRV,CARV,400864,1550719145.784
RECRV,CARV,9736,1550719151.302
RECRV,CARV,352,1550719151.521
RECRV,CARV,735320,1550719160.835
RECRV,CARV,446192,1550719166.575
RECRV,CARV,818640,1550719177.076
RECRV,CARV,1168,1550719177.221
RECRV,CARV,573160,1550719185.006
RECRV,CARV,630976,1550719192.416
RECRV,CARV,1053736,1550719205.668
RECRV,CARV,5200,1550719206.022
RECRV,CARV,682728,1550719214.607
RECRV,CARV,758720,1550719224.287
RECRV,CARV,659264,1550719232.898
RECRV,CARV,79688,1550719234.193
RECRV,CARV,3208,1550719241.372
RECRV,CARV,1032,1550719241.572
RECRV,CARV,371696,1550719246.358
RECRV,CARV,621304,1550719254.226
RECRV,CARV,1584,1550719254.502
RECRV,CARV,642416,1550719262.718
RECRV,CARV,70696,1550719263.972
RECRV,CARV,1176,1550719266.822
RECRV,CARV,768,1550719266.972
RECRV,CARV,370216,1550719271.763
RECRV,CARV,360,1550719271.982
RECRV,CARV,614472,1550719279.665
