UDP Robot Client Side Started......,1550717292.918
SEND,1,CARV,120,1550717329.563
RESP,1,CARV,120,1550717329.8
SEND,2,CARV,101672,1550717336.541
SEND,3,CARV,158960,1550717338.578
RESP,2,CARV,101672,1550717338.589
SEND,4,CARV,261968,1550717341.908
RESP,3,CARV,150960,1550717341.919
SEND,5,CARV,322528,1550717346.053
RESP,4,CARV,253968,1550717346.063
SEND,6,CARV,338280,1550717350.397
RESP,5,CARV,322528,1550717350.407
SEND,7,CARV,277064,1550717353.929
SEND,8,CARV,287960,1550717357.553
SEND,9,CARV,404688,1550717362.701
SEND,10,CARV,435896,1550717368.277
RESP,9,CARV,388688,1550717368.29
SEND,11,CARV,394600,1550717373.327
RESP,10,CARV,435896,1550717373.337
SEND,12,CARV,115104,1550717374.839
RESP,11,CARV,370600,1550717374.851
SEND,13,CARV,70496,1550717375.752
RESP,12,CARV,115104,1550717375.763
SEND,14,CARV,467528,1550717381.731
RESP,13,CARV,70496,1550717381.741
SEND,15,CARV,489472,1550717388.013
RESP,14,CARV,451528,1550717388.023
SEND,16,CARV,521832,1550717394.697
RESP,15,CARV,490752,1550717394.707
SEND,17,CARV,699288,1550717403.64
RESP,16,CARV,521832,1550717403.65
SEND,18,CARV,533528,1550717410.424
RESP,17,CARV,691288,1550717410.434
SEND,19,CARV,370296,1550717415.171
RESP,18,CARV,533528,1550717415.181
SEND,20,CARV,416504,1550717420.52
RESP,19,CARV,354296,1550717420.53
SEND,21,CARV,321536,1550717424.651
RESP,20,CARV,408504,1550717424.661
SEND,22,CARV,10320,1550717424.866
RESP,21,CARV,321536,1550717424.876
SEND,23,CARV,315688,1550717428.91
RESP,22,CARV,10320,1550717428.92
SEND,24,CARV,374208,1550717433.657
RESP,23,CARV,307688,1550717433.668
SEND,25,CARV,402376,1550717438.808
RESP,24,CARV,366208,1550717438.818
SEND,26,CARV,1416,1550717438.82
RESP,25,CARV,394376,1550717438.893
SEND,27,CARV,490136,1550717445.224
RESP,26,CARV,1416,1550717445.234
SEND,28,CARV,571224,1550717452.535
RESP,27,CARV,490136,1550717452.545
SEND,29,CARV,744,1550717452.545
RESP,28,CARV,555224,1550717452.56
SEND,30,CARV,650216,1550717461.023
RESP,29,CARV,744,1550717461.033
SEND,31,CARV,0,1550717461.039
RESP,30,CARV,650216,1550717461.114
SEND,32,CARV,646976,1550717469.541
RESP,31,CARV,896,1550717469.551
SEND,33,CARV,640816,1550717477.757
RESP,32,CARV,638976,1550717477.767
SEND,34,CARV,188064,1550717480.182
RESP,33,CARV,640816,1550717480.192
SEND,35,CARV,1712,1550717480.195
RESP,34,CARV,188064,1550717480.272
SEND,36,CARV,527600,1550717487.016
RESP,35,CARV,1712,1550717487.026
SEND,37,CARV,1576,1550717487.028
RESP,36,CARV,527600,1550717487.062
SEND,38,CARV,454352,1550717492.839
RESP,37,CARV,1576,1550717492.849
SEND,39,CARV,531384,1550717499.627
RESP,38,CARV,454352,1550717499.638
SEND,40,CARV,1848,1550717499.642
RESP,39,CARV,523384,1550717499.684
SEND,41,CARV,697648,1550717508.818
RESP,40,CARV,1848,1550717508.828
SEND,42,CARV,122288,1550717510.435
RESP,41,CARV,697648,1550717510.445
SEND,43,CARV,927400,1550717522.082
RESP,42,CARV,122288,1550717522.092
SEND,44,CARV,1069160,1550717535.704
RESP,43,CARV,919400,1550717535.714
SEND,45,CARV,1032,1550717535.715
RESP,44,CARV,1053160,1550717535.728
RESP,45,CARV,1032,1550717535.989
SEND,46,CARV,757568,1550717545.829
SEND,47,CARV,866072,1550717556.906
RESP,46,CARV,741568,1550717556.917
SEND,48,CARV,949800,1550717569.02
RESP,47,CARV,866072,1550717569.033
SEND,49,CARV,9536,1550717569.234
RESP,48,CARV,941800,1550717569.245
SEND,50,CARV,863800,1550717580.212
RESP,49,CARV,9536,1550717580.222
SEND,51,CARV,1011712,1550717592.998
RESP,50,CARV,855800,1550717593.01
SEND,52,CARV,641160,1550717601.218
RESP,51,CARV,1013248,1550717601.228
SEND,53,CARV,2104,1550717601.233
RESP,52,CARV,633160,1550717601.283
SEND,54,CARV,826080,1550717612.017
RESP,53,CARV,2104,1550717612.027
SEND,55,CARV,830872,1550717622.595
RESP,54,CARV,810080,1550717622.606
SEND,56,CARV,6624,1550717622.608
RESP,55,CARV,822872,1550717622.618
SEND,57,CARV,781536,1550717632.626
RESP,56,CARV,6624,1550717632.636
SEND,58,CARV,753296,1550717642.182
RESP,57,CARV,765536,1550717642.192
SEND,59,CARV,101336,1550717643.498
RESP,58,CARV,745296,1550717643.508
SEND,60,CARV,752,1550717643.508
SEND,61,CARV,202200,1550717646.165
RESP,59,CARV,101336,1550717646.176
SEND,62,CARV,1568,1550717646.179
RESP,60,CARV,752,1550717646.19
RESP,61,CARV,202200,1550717646.262
RESP,62,CARV,1568,1550717646.442
SEND,63,CARV,697784,1550717655.395
SEND,64,CARV,717480,1550717664.555
RESP,63,CARV,689784,1550717664.569
SEND,65,CARV,72024,1550717665.577
RESP,64,CARV,709480,1550717665.599
SEND,66,CARV,75304,1550717666.611
RESP,65,CARV,72024,1550717666.63
SEND,67,CARV,50440,1550717667.338
RESP,66,CARV,75304,1550717667.352
SEND,68,CARV,6472,1550717667.353
RESP,67,CARV,50440,1550717667.443
SEND,69,CARV,352080,1550717672.08
RESP,68,CARV,6472,1550717672.103
SEND,70,CARV,1032,1550717672.107
RESP,69,CARV,344080,1550717672.131
SEND,71,CARV,463432,1550717678.505
RESP,70,CARV,1032,1550717678.535
SEND,72,CARV,907328,1550717690.285
RESP,71,CARV,463432,1550717690.313
SEND,73,CARV,40960,1550717690.917
RESP,72,CARV,899328,1550717690.927
RESP,73,CARV,41344,1550717691.023
